        1 A          202.4
        1 B          203.2
        1 C          223.7
        1 D          203.6
        2 A            242
        2 B          248.7
        2 C          259.8
        2 D          240.7
        3 A          220.4
        3 B          227.3
        3 C            240
        3 D          207.4
        4 A            230
        4 B          243.1
        4 C          247.7
        4 D          226.9
        5 A          191.6
        5 B          211.4
        5 C          218.7
        5 D          200.1
        6 A          247.7
        6 B            253
        6 C          268.1
        6 D            244
        7 A          214.8
        7 B          214.8
        7 C          233.9
        7 D          195.8
        8 A          245.4
        8 B          243.6
        8 C          257.8
        8 D          227.9
        9 A            224
        9 B          231.5
        9 C          238.2
        9 D          215.7
       10 A          252.2
       10 B          255.2
       10 C          265.4
       10 D          245.2
